,CWE_CLASS,CLEAN_DESCRIPTION
10149,0,iscsswordspacingspace function mozilla firefox firefox esr thunderbird thunderbird esr seamonkey allows remote attackers execute arbitrary code cause denial service bounds read unspecified vectors
10156,1,cybozu live application earlier android allows remote attackers execute arbitrary java methods obtain sensitive information execute arbitrary commands crafted web site
10157,1,webview class cybozu live application earlier android allows remote attackers execute arbitrary javascript code obtain sensitive information crafted application places code local file associated file url
10160,1,application android properly implement webview class allows remote attackers obtain sensitive information crafted application
10169,1,ppp dissector wireshark allows remote attackers cause denial service invalid pointer dereference application crash crafted packet demonstrated usbmon dump
10170,1,epan dissectors packet nfs dissector wireshark allows remote attackers cause denial service loop cpu consumption crafted packet
10182,1,opera windows unix mac os x allows user assisted remote attackers trick users downloading executing arbitrary files small window download dialog different vulnerability
10208,1,amazon sendevent implementation kindle touch allows context dependent attackers execute arbitrary commands shell metacharacters string demonstrated lipc set prop set lipc property different vulnerability
10249,1,openstack object storage swift uses loads function pickle python module unsafely storing loading metadata memcached allows remote attackers execute arbitrary code crafted pickle object
10252,1,gnome shell plugin gnome allows remote attackers force download installation arbitrary extensions crafted web page
10253,0,openslp slpintersectstringlist function dos vulnerability
10306,1,codesys gateway server allows remote attackers execute arbitrary code vectors trigger bounds memory access
10316,1,microsoft windows xp windows server windows vista windows server windows gold allow remote attackers execute arbitrary code crafted file subfolder triggers use unallocated memory destination copy operation aka windows filename parsing vulnerability
10317,1,use free vulnerability microsoft internet explorer allows remote attackers execute arbitrary code crafted web site triggers access deleted object aka injecthtmlstream use free vulnerability
10318,1,kernel mode drivers microsoft windows xp windows server windows vista windows server windows gold windows windows server windows rt allow remote attackers execute arbitrary code crafted truetype font ttf file aka truetype font parsing vulnerability
10319,1,microsoft exchange server allows remote authenticated users cause denial service information store service hang subscribing crafted rss feed aka rss feed cause exchange dos vulnerability
10324,1,ibm cognos business intelligence bi allows remote attackers conduct xpath injection attacks xpath extension functions unspecified vectors
10328,1,oreans winlicense allows remote attackers cause denial service memory corruption crash possibly execute arbitrary code crafted xml file
10330,1,function recordings misc freepbx earlier allows remote attackers execute arbitrary commands callmenum parameter c action
10335,1,argument injection vulnerability request tracker rt allows remote attackers create arbitrary files unspecified vectors related gnupg client
10384,0,international components unicode icu functionality google chrome allows remote attackers cause denial service bounds read vectors related regular expression
10385,0,compositor google chrome allows remote attackers cause denial service bounds read unspecified vectors
10386,0,skia google chrome allows remote attackers cause denial service bounds read unspecified vectors
10387,1,google chrome properly handle history navigation allows remote attackers execute arbitrary code cause denial service application crash unspecified vectors
10389,1,phpmyadmin distributed cdnetworks mirror unspecified time frame contains externally introduced modification trojan horse allows remote attackers execute arbitrary php code eval injection attack
10405,1,function includes vbseo earlier allows remote attackers insert execute arbitrary php code complex curly syntax parameter inserted regular expression processed function eval switch
10406,1,php remote file inclusion vulnerability vb includes vbadvanced cmps earlier allows remote attackers execute arbitrary php code url parameter
10412,1,minicms allows remote attackers execute arbitrary php code crafted pagename area variable containing executable extension properly handled writing files b writing files content
10421,1,multiple php remote file inclusion vulnerabilities sapid cms stable allow remote attackers execute arbitrary php code url parameter usr extensions parameter usr extensions
10428,1,static code injection vulnerability administration yvs image gallery allows remote attackers inject arbitrary php code functions unspecified vectors note vulnerability administrator follow recommendations product installation documentation
10465,1,plone beta allows remote attackers execute python code unspecified vectors related admin interface
10466,1,plone beta allows remote attackers execute python code crafted url related createobject
10468,1,plone beta allows remote authenticated users certain permissions bypass python sandbox execute arbitrary python code unspecified vectors
10470,1,plone beta allows remote attackers execute python code crafted url related
10476,1,simplenews scheduler module drupal allows remote authenticated users send scheduled newsletters permission inject arbitrary php code scheduling form later executed cron
10495,1,format string vulnerability function bin libproxy allow context dependent attackers cause denial service crash possibly execute arbitrary code format string specifiers proxy demonstrated environment variable pac file
10508,1,apache couchdb allows remote attackers execute arbitrary code jsonp callback related adobe flash
10516,1,realnetworks realplayer realplayer sp allow remote attackers execute arbitrary code realaudio file triggers access invalid pointer
10531,1,eval injection vulnerability replacelistvars function template parser e class empirecms allows user assisted remote attackers execute arbitrary php code crafted template
10535,1,mozilla firefox thunderbird seamonkey allow remote attackers execute arbitrary code cause denial service application crash vectors involving setting cascading style sheets css properties conjunction svg text
10537,1,web developer toolbar mozilla firefox executes script chrome privileges allows user assisted remote attackers conduct cross site scripting xss attacks crafted string
10570,1,eval injection vulnerability function netiq privileged user manager allows remote attackers execute arbitrary perl code crafted application x amf request
10579,1,xcom data transport unix linux allows remote attackers execute arbitrary commands crafted request
10588,1,static code injection vulnerability admin php enter allows remote attackers inject arbitrary php code code parameter
10603,1,module perl properly use function allows remote attackers execute arbitrary code crafted request properly handled deserialized
10604,1,module perl properly use function allows remote attackers execute arbitrary code crafted request properly handled deserialized
10605,1,spoon module perl properly use function allows remote attackers execute arbitrary code crafted request properly handled deserialized
10616,1,compile function implementation perl properly handle backslashes fully qualified method names compilation bracket notation allows context dependent attackers execute arbitrary commands crafted input application accepts translation strings users demonstrated twiki application foswiki application
10635,1,opera allows remote attackers execute arbitrary code cause denial service application crash malformed svg image
10658,1,djvulibre evince sumatra pdf reader vudroid products allows remote attackers execute arbitrary code cause denial service memory corruption crafted djvu aka file
10741,1,microsoft xml core services aka msxml properly parse xml content allows remote attackers execute arbitrary code crafted web page aka msxml xslt vulnerability
10744,1,directshow microsoft windows xp server vista server allows remote attackers execute arbitrary code crafted media content media file media stream microsoft office document aka media decompression vulnerability
10746,1,activex control honeywell enterprise buildings integrator ebi symmetre comfortpoint open manager aka cpo m station hmiweb browser client packages allows remote attackers execute arbitrary code crafted html document
10751,1,suexec implementation parallels plesk panel contains cgi wrapper whitelist entry allows user assisted remote attackers execute arbitrary php code request containing crafted environment variables
10755,1,cgi bin qnap viostor nvr devices firmware surveillance station pro component qnap nas allows remote authenticated users execute arbitrary commands leveraging guest access placing shell metacharacters query string
10758,1,foreman allows remote attackers execute arbitrary code crafted yaml object fact report import api
10770,1,settings owncloud allows remote authenticated users execute arbitrary php code crafted mount point settings
10771,1,smart proxy puppet run api foreman allows remote attackers execute arbitrary commands vectors related escaping puppet commands
10797,1,java runtime environment jre component oracle java se update earlier update earlier update earlier openjdk allows remote attackers execute arbitrary code vectors related awt demonstrated ben murphy competition cansecwest note previous information april cpu oracle commented claims vendor issue related invocation system class loader classloaderobjectinputstream class allows remote attackers bypass java sandbox restrictions
10845,1,adobe reader acrobat allow attackers execute arbitrary code unspecified vectors related logic error different vulnerability
10846,1,adobe reader acrobat allow attackers execute arbitrary code unspecified vectors related logic error different vulnerability
10847,1,adobe reader acrobat allow attackers execute arbitrary code unspecified vectors related logic error different vulnerability
10848,1,adobe reader acrobat allow attackers execute arbitrary code unspecified vectors related logic error different vulnerability
10854,1,tftp server emerson process management rtu software earlier rtu software earlier rtu software earlier allows remote attackers upload files consequently execute arbitrary code unspecified vectors
10860,1,php remote file inclusion vulnerability includes generate wp ecommerce shop styling plugin wordpress allows remote attackers execute arbitrary php code url dompdf parameter
10869,1,autowrapperchanger class mozilla firefox firefox esr thunderbird thunderbird esr seamonkey properly interact garbage collection allows remote attackers execute arbitrary code crafted html document referencing javascript objects
10871,1,mozilla firefox firefox esr thunderbird thunderbird esr seamonkey allow remote attackers execute arbitrary javascript code chrome privileges leveraging improper interaction plugin objects svg elements
10873,0,function mozilla firefox firefox esr thunderbird thunderbird esr seamonkey allows remote attackers execute arbitrary code cause denial service bounds read unspecified vectors
10877,0,function mozilla firefox thunderbird seamonkey allows remote attackers execute arbitrary code cause denial service bounds read unspecified vectors
10878,0,function mozilla firefox thunderbird seamonkey allows remote attackers execute arbitrary code cause denial service bounds read unspecified vectors
10886,1,microsoft windows xp windows server windows vista windows server allow remote attackers execute arbitrary code crafted screensaver theme file aka windows theme file remote code execution vulnerability
10888,1,webkit google chrome allows remote attackers execute arbitrary code vectors leverage type confusion
10922,1,remote desktop activex control microsoft remote desktop connection client properly handle objects memory allows remote attackers execute arbitrary code web page triggers access deleted object allows remote rdp servers execute arbitrary code unspecified vectors trigger access deleted object aka rdp activex control remote code execution vulnerability
10924,1,microsoft publisher properly handle null values unspecified data items allows remote attackers execute arbitrary code crafted publisher file aka publisher incorrect null value handling vulnerability
10925,1,microsoft word word viewer allow remote attackers execute arbitrary code crafted shape data word document aka word shape corruption vulnerability
10926,1,microsoft internet explorer properly handle objects memory allows remote attackers execute arbitrary code accessing object properly allocated deleted exploited wild
10927,1,function symfony remote attackers execute arbitrary php code php file different vulnerability
10928,1,eval injection vulnerability opensis allows remote attackers execute arbitrary php code modname parameter
10933,1,symfony remote attackers execute arbitrary php code serialized php object function different vulnerability
10940,1,datalife engine dle allows remote attackers execute arbitrary php code catlist parameter engine function e modifier
10952,1,cacti allows remote attackers execute arbitrary commands shell metacharacters unspecified vectors
10953,1,xmonad hooks dynamiclog module xmonad contrib allows remote attackers execute arbitrary commands web page title activates commands user clicks xmobar window title demonstrated action tag
10960,1,java runtime environment jre component oracle java se update earlier openjdk allows remote attackers execute arbitrary code unspecified vectors involving reflection libraries improper tostring calls jdbc driver manager demonstrated james forshaw competition cansecwest
10961,1,java runtime environment jre component oracle java se update earlier update earlier update earlier javafx earlier allows remote attackers execute arbitrary code vectors related demonstrated joshua drake competition cansecwest
10975,1,opera allows remote attackers execute arbitrary code vectors involving dom events
10976,1,opera allows remote attackers execute arbitrary code crafted clippaths svg document
10979,1,multiple crlf injection vulnerabilities open xchange server allow remote attackers inject arbitrary http headers conduct http response splitting attacks crafted parameter demonstrated location parameter ajax redirect multiple infostore uris
10980,1,foswiki contains code injection vulnerability maketext macro
10983,1,profiler implementation mozilla firefox parses untrusted data ui rendering allows user assisted remote attackers execute arbitrary javascript code crafted web site
10991,1,dragonfly gem ruby ruby rails allows remote attackers execute arbitrary code crafted request
10995,1,stunnel connect protocol negotiation ntlm authentication enabled correctly perform integer conversion allows remote proxy servers execute arbitrary code crafted request triggers buffer overflow
10999,1,jmx remoting functionality apache geronimo ibm websphere application server community edition products properly implement rmi classloader allows remote attackers execute arbitrary code jmx connector send crafted serialized object
11021,1,multiple incomplete blacklist vulnerabilities ajax apps owncloud allow remote authenticated users execute arbitrary php code uploading file
11028,1,gem ruby allows remote attackers execute arbitrary commands shell metacharacters url filename
11038,1,lib thumbshooter gem ruby allows remote attackers execute arbitrary commands shell metacharacters url
11039,1,argument injection vulnerability postgresql allows remote attackers cause denial service file corruption allows remote authenticated users modify configuration settings execute arbitrary code connection request database begins hyphen
11054,1,apache struts showcase app struts allows remote attackers execute arbitrary ognl code crafted parameter properly handled invoking redirect
11055,1,apache struts allows remote attackers execute arbitrary ognl code crafted request properly handled includeparams attribute url tag
11071,1,race condition hawtjni runtime src main java org fusesource hawtjni runtime hawtjni custom library path specified allows local users execute arbitrary java code overwriting temporary jar file predictable
11088,1,apache struts allows remote attackers execute arbitrary ognl code crafted request properly handled includeparams attribute url tag note issue incomplete fix
11089,1,eval injection vulnerability create method bookmarks controller foreman allows remote authenticated users permissions create bookmarks execute arbitrary code controller attribute
11092,1,apache struts allows remote attackers execute arbitrary ognl code request crafted action properly handled wildcard matching different vulnerability
11093,1,apache struts allows remote attackers execute arbitrary ognl code request crafted value contains sequences causes ognl code evaluated twice
11099,1,xml injection vulnerability account openstack swift folsom grizzly havana allows attackers trigger invalid spoofed swift responses account
11105,1,tpp allows remote attackers execute arbitrary commands command tpp template file
11114,1,php code injection vulnerability fudforum bulletin board software allow remote attackers execute arbitrary code system
11135,1,unspecified vulnerability adobe reader allows remote attackers execute arbitrary code vectors related break sandbox demonstrated george hotz competition cansecwest
11145,1,crlf injection vulnerability redirect servlet open xchange appsuite server allows remote attackers inject arbitrary http headers conduct open redirect attacks leveraging improper sanitization whitespace characters
11151,1,lib fastreader gem ruby allows remote attackers execute arbitrary commands shell metacharacters url
11152,1,lib minimagick gem ruby allows remote attackers execute arbitrary commands shell metacharacters url
11153,1,lib curl gem ruby allows remote attackers execute arbitrary commands shell metacharacters url
11183,1,eval injection vulnerability frontview lib frontview web interface netgear readynas raidiator allows remote attackers execute arbitrary perl code crafted request related forgot password workflow
11188,1,universal protocol implementation sixnet udr rtu firmware allows remote attackers execute arbitrary code read modify create files obtain file metadata function opcodes
11189,0,rockwell automation rslinx enterprise software handle input correctly results logic error receives datagram incorrect value record data size field sending datagram service port udp record data size field modified oversized value attacker cause bounds read access violation leads service crash service recovered manual reboot patches details pertaining vulnerability found following rockwell automation security advisory link login required
11191,0,rockwell automation rslinx enterprise software handle input correctly results logic error calculates incorrect value total record size field sending datagram service port udp record data size field modified specifically oversized value service calculate undersized value total record size cause bounds read access violation leads service crash service recovered manual reboot patches details pertaining vulnerabilities found following rockwell automation security advisory link login required
11192,1,activex control mitsubishi electric automation mc worx suite allows user assisted remote attackers execute arbitrary programs crafted html document conjunction login client button click
11193,1,unspecified activex control wellintech kingscada kinggraphic allows remote attackers download arbitrary dll code client machine execute code projecturl property value
11198,1,crlf injection vulnerability ibm websphere portal home substitution aka enabled allows remote authenticated users inject arbitrary http headers conduct http response splitting attacks unspecified vectors
11218,1,vmware vcenter server appliance vcsa update allows remote authenticated users execute arbitrary programs root privileges leveraging virtual appliance management interface vami access
11226,1,microsoft wmv video codec windows media format runtime windows media format runtime windows media player allows remote attackers execute arbitrary code crafted media file aka wmv video decoder remote code execution vulnerability
11227,1,microsoft framework silverlight kernel mode drivers directwrite journal windows xp windows server windows vista windows server windows windows windows server windows rt office visual studio lync attendee basic allow remote attackers execute arbitrary code crafted truetype font ttf file aka truetype font parsing vulnerability
11228,1,microsoft framework silverlight properly prevent changes data multidimensional arrays structures allows remote attackers execute arbitrary code crafted framework application crafted silverlight application aka array access violation vulnerability
11229,1,microsoft framework properly check permissions objects use reflection allows remote attackers execute arbitrary code crafted xaml browser application xbap crafted framework application aka delegate reflection bypass vulnerability
11230,1,microsoft framework properly check permissions objects use reflection allows remote attackers execute arbitrary code crafted xaml browser application xbap crafted framework application aka anonymous method injection vulnerability
11231,1,common language runtime clr microsoft framework bit platforms properly allocate arrays structures allows remote attackers execute arbitrary code crafted framework application changes array data aka array allocation vulnerability
11232,1,microsoft internet explorer allows remote attackers execute arbitrary code cause denial service memory corruption crafted web site aka internet explorer memory corruption vulnerability different vulnerability
11233,1,microsoft internet explorer allows remote attackers execute arbitrary code cause denial service memory corruption crafted web site aka internet explorer memory corruption vulnerability different vulnerability
11234,1,microsoft internet explorer allows remote attackers execute arbitrary code cause denial service memory corruption crafted web site aka internet explorer memory corruption vulnerability different vulnerability
11235,1,microsoft internet explorer allows remote attackers execute arbitrary code cause denial service memory corruption crafted web site aka internet explorer memory corruption vulnerability different vulnerability
11236,1,microsoft internet explorer allows remote attackers execute arbitrary code cause denial service memory corruption crafted web site aka internet explorer memory corruption vulnerability
11237,1,microsoft internet explorer allows remote attackers execute arbitrary code cause denial service memory corruption crafted web site aka internet explorer memory corruption vulnerability different vulnerability
11238,1,microsoft internet explorer allows remote attackers execute arbitrary code cause denial service memory corruption crafted web site aka internet explorer memory corruption vulnerability
11239,1,microsoft internet explorer allows remote attackers execute arbitrary code cause denial service memory corruption crafted web site aka internet explorer memory corruption vulnerability different vulnerability
11240,1,microsoft internet explorer allows remote attackers execute arbitrary code cause denial service memory corruption crafted web site aka internet explorer memory corruption vulnerability different vulnerability
11241,1,microsoft internet explorer allows remote attackers execute arbitrary code cause denial service memory corruption crafted web site aka internet explorer memory corruption vulnerability different vulnerability
11242,1,microsoft internet explorer allows remote attackers execute arbitrary code cause denial service memory corruption crafted web site aka internet explorer memory corruption vulnerability different vulnerability
11243,1,microsoft internet explorer allows remote attackers execute arbitrary code cause denial service memory corruption crafted web site aka internet explorer memory corruption vulnerability different vulnerability
11244,1,microsoft internet explorer allows remote attackers execute arbitrary code cause denial service memory corruption crafted web site aka internet explorer memory corruption vulnerability different vulnerability
11245,1,microsoft internet explorer allows remote attackers execute arbitrary code cause denial service memory corruption crafted web site aka internet explorer memory corruption vulnerability different vulnerability
11246,1,microsoft internet explorer allows remote attackers execute arbitrary code cause denial service memory corruption crafted web site aka internet explorer memory corruption vulnerability
11248,1,serialization functionality microsoft framework properly check permissions delegate objects allows remote attackers execute arbitrary code crafted xaml browser application xbap crafted framework application leverages partial trust relationship aka delegate serialization vulnerability
11249,1,directshow microsoft windows xp windows server windows vista windows server windows windows windows server allows remote attackers execute arbitrary code crafted gif file aka directshow arbitrary memory overwrite vulnerability
11250,1,microsoft silverlight properly initialize arrays allows remote attackers execute arbitrary code cause denial service null pointer dereference crafted silverlight application aka null pointer vulnerability
11254,1,usb drivers kernel mode drivers microsoft windows xp windows server windows vista windows server windows windows windows server windows rt allow physically proximate attackers execute arbitrary code connecting crafted usb device aka windows usb descriptor vulnerability
11256,1,phpmyadmin savedir directory configured allows remote authenticated users execute arbitrary code double extension filename export file leading interpretation file executable file apache http server demonstrated filename
11257,1,multiple unspecified vulnerabilities function project system ps module sap erp central component ecc allow remote attackers execute arbitrary code rfc soap rfc request
11277,1,crlf injection vulnerability request tracker rt allows remote attackers inject arbitrary http headers conduct http response splitting attacks mime header
11279,1,web framework ironport asyncos cisco web security appliance devices allows remote authenticated users execute arbitrary commands crafted command line input url sent aka bug id
11280,1,web framework ironport asyncos cisco web security appliance devices email security appliance devices content security management appliance devices allows remote authenticated users execute arbitrary commands crafted command line input url aka bug ids
11283,1,unspecified function cisco unified communications manager cucm allows remote authenticated users execute arbitrary commands unknown vectors aka bug id
11308,1,html system system file overview feature nedi component groundwork monitor enterprise allows remote authenticated users execute arbitrary commands vectors involving file editing
11312,1,vmware vcenter chargeback manager aka cbm proper handle uploads allows remote attackers execute arbitrary code unspecified vectors
11345,1,moodle allows remote authenticated administrators execute arbitrary programs configuring aspell pathname triggering spell check operation tinymce editor
11346,1,earlier allows remote authenticated users execute arbitrary php code request aka advanced execute command feature note issue vulnerability appears legitimate intentionally exposed functionality developer allowed intended security policy
11356,1,lockon ec cube allows remote attackers conduct unspecified php code injection attacks crafted string related data class data class
11368,1,kernel mode drivers microsoft windows xp windows server windows vista windows server windows windows windows server windows rt allow remote attackers execute arbitrary code crafted cmap table truetype font ttf file aka truetype font cmap table vulnerability
11369,1,microsoft windows vista server office office compatibility pack lync attendee basic allows remote attackers execute arbitrary code crafted tiff image demonstrated image word document exploited wild october november
11392,1,crlf injection vulnerability web application enterprise console ibm infosphere biginsights allows remote authenticated users inject arbitrary http headers conduct http response splitting attacks unspecified vectors
11426,1,function virtio qemu allows remote attackers execute arbitrary code crafted savevm image triggers bounds write
11433,1,red hat cloudforms management engine allow remote administrators execute arbitrary ruby code unspecified vectors
11438,1,function lib rgpg rgpg gem ruby allows remote attackers execute arbitrary commands shell metacharacters unspecified vectors
11440,1,code execution vulnerability exists openx ad server backdoor library let remote malicious user execute arbitrary php code
11441,1,certain gettext methods actionsupport controller apache roller allow remote attackers execute arbitrary ognl expressions second parameter demonstrated pagetitle parameter getpagetitle sub url roller ui uses subclass uiaction aka ognl injection
11446,1,restful web services restws module drupal properly restrict access entity write operations makes easier remote authenticated users access resource node create page content permissions equivalents conduct cross site scripting xss execute arbitrary php code crafted text field
11462,1,file abstraction layer fal allows remote authenticated editors execute arbitrary php code unspecified characters file extension renaming file note vulnerability exists incomplete fix
11463,1,apache camel allows remote attackers execute arbitrary simple language expressions including simple camelfilename message header file ftp producer
11467,1,wp includes wordpress properly determine data serialized allows remote attackers execute arbitrary code triggering erroneous php unserialize operations
11474,1,setgid wrapper server db server allows remote attackers execute arbitrary code unspecified vectors related path
11492,1,salt aka saltstack allows remote attackers execute arbitrary yaml code unspecified vectors note vendor states vulnerability yaml loaded determined safe
11494,1,unrestricted file upload vulnerability apache tomcat certain situations involving outdated file code custom jmx configuration allows remote attackers execute arbitrary code uploading accessing jsp file
11495,1,function plugins context module drupal version php support function allows remote attackers execute arbitrary php code unspecified vectors related ajax operations possibly involving eval injection
11503,1,sup allows remote attackers execute arbitrary commands shell metacharacters filename email attachment
11504,1,lib sup sup allows remote attackers execute arbitrary commands shell metacharacters email attachment
11507,1,function server terascale open source resource queue manager aka torque resource manager allows remote attackers execute arbitrary commands shell metacharacters email switch qsub
11515,1,function hw sd ssi qemu allows remote attackers execute arbitrary code crafted arglen value savevm image
11517,1,security screen spip spip allows remote attackers execute arbitrary php connect parameter
11520,1,gitlab community edition enterprise edition gitlab shell allows remote attackers execute arbitrary code crafted change ssh
11582,1,hp procurve manager pcm identity driven manager idm application lifecycle management allow remote attackers execute arbitrary code marshalled object ejbinvokerservlet jmxinvokerservlet aka zdi note probably duplicate
11583,1,agent aka agentcontroller servlet hp procurve manager pcm identity driven manager idm allows remote attackers execute arbitrary commands head request aka zdi
11587,1,hp service manager allows remote attackers execute arbitrary code unspecified injection approach
11616,1,dashboard report puppet enterprise allows attackers execute arbitrary yaml code crafted report specific type
11633,1,square squash allows remote attackers execute arbitrary code yaml document namespace parameter deobfuscation function sourcemap parameter sourcemap function app controllers api
11636,1,microsoft sharepoint server office web apps allows remote attackers execute arbitrary code crafted page content aka sharepoint page content vulnerabilities
11640,1,renderlocalview function render graphite web graphite uses pickle python module unsafely allows remote attackers execute arbitrary code crafted serialized object
11681,1,adobe reader acrobat windows allow remote attackers execute arbitrary javascript code javascript url crafted pdf document
11683,1,adobe flash player windows mac os x linux adobe air adobe air sdk adobe air sdk compiler allow remote attackers execute arbitrary code crafted content leverages unspecified type confusion exploited wild december
11684,1,adobe flash player windows mac os x linux adobe air adobe air sdk adobe air sdk compiler allow attackers execute arbitrary code cause denial service memory corruption unspecified vectors
11685,1,sharetronix earlier allows remote attackers execute arbitrary php code parameter services activities set parameter services comments set properly handled executing function e modifier
11687,1,ibm spss analytical decision management allow remote attackers execute arbitrary code deploying accessing service
11739,1,lib sounder sounder gem ruby allows remote attackers execute arbitrary commands shell metacharacters filename
11749,1,badges moodle properly handle object obtained unserializing description external badge allows remote attackers conduct php object injection attacks unspecified vectors demonstrated overwriting value userid parameter
11770,1,vhttpdmgr thomson reuters velocity analytics vhayu analytic server build allows remote attackers execute arbitrary code url filename parameter importfile action
11779,1,graphite uses pickle python module unsafely allows remote attackers execute arbitrary code crafted serialized object related render whitelist different vulnerability
11802,1,crlf injection vulnerability open xchange appsuite ajp certain conditions allows remote attackers inject arbitrary http headers conduct http response splitting attacks ajax defer servlet
11807,1,xmlparse procedure sap sybase adaptive server enterprise ase esd allows remote authenticated users read arbitrary files sql statement containing xml document external entity declaration conjunction entity reference related xml external entity xxe issue
11854,1,ibm marketing platform allows remote authenticated users hijack sessions consequently read records modify records conduct transactions unspecified link injection
11872,1,mcafee email gateway meg allows remote authenticated users execute arbitrary commands unspecified vectors
11876,1,groovy script console vmware hyperic hq allows remote authenticated administrators execute arbitrary code
11879,1,form api drupal unspecified party modules performs form validation csrf validation failed allow remote attackers trigger application specific impacts arbitrary code execution application specific vectors
11883,1,array index error function hw virtio qemu allows remote attackers execute arbitrary code crafted savevm image
11887,1,function sprout gem ruby allows context dependent attackers execute arbitrary commands shell metacharacters filename path
11889,1,hp upgrade service hp linux imaging printing hplip launches program http url allows man middle attackers execute arbitrary code gaining control client server data stream
11900,1,jboss drools red hat jboss brms red hat jboss bpm suite allows remote authenticated users execute arbitrary java code mvflex expression language mvel drools expression
11901,1,jboss overlord run time governance rtgov jbossas allows remote authenticated users execute arbitrary java code mvflex expression language mvel expression note details obtained party information
11904,1,function mozilla firefox firefox esr thunderbird seamonkey allows remote attackers execute arbitrary code crafted use javascript code ordered list elements
11925,1,updater rackspace openstack windows guest agent xenserver allows remote attackers execute arbitrary code crafted serialized object tcp port triggers download extraction zip file overwrites agent service binary
11929,1,server brocade network advisor emc connectrix manager converged network edition cmcne hp b series san network advisor possibly products allows remote attackers execute arbitrary code servlet upload executable file
11932,1,zabbix allows remote zabbix servers proxies execute arbitrary commands newline flexible user parameter
11933,1,admin pineapp mail secure allows remote attackers execute arbitrary commands shell metacharacters pinghost parameter ping operation
11934,1,admin pineapp mail secure earlier earlier platforms allows remote attackers execute arbitrary commands shell metacharacters nsserver parameter nslookup operation
11939,1,sap sybase adaptive server enterprise ase allows remote authenticated users execute arbitrary code unspecified vectors aka
11940,1,sap sybase adaptive server enterprise ase allows remote authenticated users execute arbitrary code unspecified vectors aka
11974,1,citrix netscaler application delivery controller adc allows remote attackers conduct ldap injection attack vectors related ssh web management usernames
11976,1,peeraddresses api belkin wemo home automation firmware allows remote attackers read arbitrary files xml document containing external entity declaration conjunction entity reference related xml external entity xxe issue
11993,1,setcookievalue function lib livezilla allows remote attackers execute arbitrary php code serialized php object cookie
11994,1,function scripts devscripts allows remote attackers execute arbitrary commands shell metacharacters directory
11998,1,ack allows remote attackers execute arbitrary code option file directory searched
12005,1,message function lib webbynode webbynode gem earlier ruby allows context dependent attackers execute arbitrary commands shell metacharacters growlnotify message
12051,1,plrpc module possibly earlier perl uses storable module allows remote attackers execute arbitrary code crafted request properly handled deserialized
12068,1,unspecified rfc function sap ccms agent allows remote attackers execute arbitrary commands unknown vectors
12079,1,runshellscript script splunk allows remote authenticated users execute arbitrary commands crafted string note issue split different vulnerability types
12092,0,gd graphics library aka libgd php allows remote attackers cause denial service bounds read possibly unspecified impact crafted image mishandled imagescale function
12094,1,simple machines forum smf allows php code injection dictionary parameter
12117,1,method servicecontroller vmdb app controllers red hat cloudforms management engine allows remote attackers execute arbitrary methods unspecified vectors
12125,1,apache syncope allows remote administrators execute arbitrary java code vectors related apache commons jexl expressions derived schema definition user role templates account links resource mappings
12144,1,red hat openshift enterprise openshift origin allow remote authenticated users execute arbitrary commands shell metacharacters directory referenced cartridge file uri scheme
12147,1,authenticationfilter red hat jboss web framework kit jboss enterprise application platform jbeap jboss enterprise web platform jbewp allows remote attackers execute arbitrary code crafted authentication header related seam logging
12148,1,microsoft windows sharepoint services sharepoint server gold sharepoint foundation gold project server gold web applications office web apps server gold sharepoint server client components sdk sharepoint designer gold allow remote authenticated users execute arbitrary code crafted page content aka sharepoint page content vulnerability
12149,1,microsoft forefront protection exchange server properly parse e mail content allow remote attackers execute arbitrary code crafted message aka rce vulnerability
12164,1,function django beta allows remote attackers import execute arbitrary python modules leveraging view constructs urls user input dotted python path
12165,1,reportbug allows remote attackers execute arbitrary commands vectors related reportbug
12166,1,earlier uses pickle python module unsafely allows remote attackers execute arbitrary code crafted serialized object
12171,1,adobe flash player windows os x linux adobe air adobe air sdk adobe air sdk compiler allow attackers execute arbitrary code cause denial service memory corruption unspecified vectors different vulnerability
12175,1,double free vulnerability adobe flash player windows os x linux adobe air adobe air sdk adobe air sdk compiler allows attackers execute arbitrary code unspecified vectors
12176,1,adobe flash player windows os x linux adobe air adobe air sdk adobe air sdk compiler allow attackers execute arbitrary code leveraging unspecified type confusion different vulnerability
12177,1,adobe flash player windows os x linux adobe air adobe air sdk adobe air sdk compiler allow attackers execute arbitrary code leveraging unspecified type confusion different vulnerability
12178,1,adobe flash player windows os x linux adobe air adobe air sdk adobe air sdk compiler allow attackers execute arbitrary code leveraging unspecified type confusion different vulnerability
12179,1,adobe flash player windows os x linux adobe air adobe air sdk adobe air sdk compiler allow attackers execute arbitrary code leveraging unspecified type confusion different vulnerability
12180,1,adobe flash player windows os x linux allows attackers execute arbitrary code cause denial service memory corruption unspecified vectors different vulnerability
12182,1,directory traversal vulnerability dumptofile method nqmcsvarset activex control netiq security manager allows remote attackers execute arbitrary code unspecified vectors different vulnerability
12183,1,activex control attachmate reflection ftp client allows remote attackers cause denial service memory corruption execute arbitrary code vectors related getglobalsettings methods triggers dereference arbitrary memory address note issue merged type vulnerability affecting set versions discovered researcher
12192,1,system status collection daemon sscd cisco telepresence system allows remote attackers execute arbitrary commands cause denial service stack memory corruption crafted xml rpc message aka bug id
